Year,Country of Origin (ISO),Country of Origin,Country of Resettlement (ISO),Country of Resettlement,Female 0-17,Female 18-59,Female 60+,Female (unknown age),Female Total,Male 0-17,Male 18-59,Male 60+,Male (unknown age),Male Total,Other/Unknown,Grand Total
2017,AFG,Afghanistan,AUS,Australia,193,203,11,0,407,173,238,8,0,419,0,826
2017,SYR,Syrian Arab Rep.,BEL,Belgium,294,315,15,0,624,417,308,8,0,733,0,1357
2017,SOM,Somalia,PRT,Portugal,0,1,0,0,1,0,0,0,0,0,0,1
2017,SYR,Syrian Arab Rep.,MLT,Malta,4,4,0,0,8,2,1,0,0,3,0,11
2017,ERI,Eritrea,SWE,Sweden,108,186,10,0,304,136,197,18,0,351,0,655
2017,SDN,Sudan,FIN,Finland,6,4,0,0,10,8,2,0,0,10,0,20
2017,All others,All others,ISL,Iceland,3,6,0,0,9,0,5,0,0,5,0,14
2017,BTN,Bhutan,USA,United States of America,32,5,1,0,38,42,54,4,0,100,0,138
2017,AFG,Afghanistan,CAN,Canada,7,19,1,0,27,18,11,1,0,30,0,57
2017,SYR,Syrian Arab Rep.,IRL,Ireland,81,64,1,0,146,88,68,1,0,157,0,303
2017,ERI,Eritrea,USA,United States of America,233,246,9,0,488,256,240,15,0,511,0,999
2017,SDN,Sudan,FRA,France,82,74,7,0,163,86,73,3,0,162,0,325
2017,All others,All others,NLD,Netherlands,11,14,0,0,25,16,16,0,0,32,0,57
2017,SOM,Somalia,NLD,Netherlands,3,2,0,0,5,2,0,0,0,2,0,7
2017,SYR,Syrian Arab Rep.,ISL,Iceland,4,4,0,0,8,8,5,0,0,13,0,21
2017,SOM,Somalia,DEU,Germany,1,3,0,0,4,0,4,0,0,4,0,8
2017,IRQ,Iraq,USA,United States of America,362,391,42,0,795,439,437,27,0,903,0,1698
2017,IRQ,Iraq,ISL,Iceland,13,7,1,0,21,7,7,1,0,15,0,36
2017,IRN,Iran (Islamic Rep. of),AUS,Australia,2,14,0,0,16,3,9,0,0,12,0,28
2017,SDN,Sudan,GBR,United Kingdom of Great Britain and Northern Ireland,118,118,0,0,236,143,80,1,0,224,0,460
2017,All others,All others,URY,Uruguay,2,6,0,0,8,3,4,1,0,8,0,16
2017,COD,Dem. Rep. of the Congo,CAN,Canada,28,38,4,0,70,36,20,2,0,58,0,128
