,Year,Country of Origin (ISO),Country of Origin,Country of Resettlement (ISO),Country of Resettlement,Female 0-17,Female 18-59,Female 60+,Female Total,Male 0-17,Male 18-59,Male 60+,Male Total,Grand Total
0,2017,AFG,Afghanistan,AUS,Australia,193.0,203.0,11.0,407.0,173.0,238.0,8.0,419.0,826.0
1,2017,SYR,Syrian Arab Rep.,BEL,Belgium,294.0,315.0,15.0,624.0,417.0,308.0,8.0,733.0,1357.0
2,2017,SOM,Somalia,PRT,Portugal,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,2017,SYR,Syrian Arab Rep.,MLT,Malta,4.0,4.0,0.0,8.0,2.0,1.0,0.0,3.0,11.0
4,2017,ERI,Eritrea,SWE,Sweden,108.0,186.0,10.0,304.0,136.0,197.0,18.0,351.0,655.0
5,2017,SDN,Sudan,FIN,Finland,6.0,4.0,0.0,10.0,8.0,2.0,0.0,10.0,20.0
6,2017,All others,All others,ISL,Iceland,3.0,6.0,0.0,9.0,0.0,5.0,0.0,5.0,14.0
7,2017,BTN,Bhutan,USA,United States of America,32.0,5.0,1.0,38.0,42.0,54.0,4.0,100.0,138.0
8,2017,AFG,Afghanistan,CAN,Canada,7.0,19.0,1.0,27.0,18.0,11.0,1.0,30.0,57.0
9,2017,SYR,Syrian Arab Rep.,IRL,Ireland,81.0,64.0,1.0,146.0,88.0,68.0,1.0,157.0,303.0
10,2017,ERI,Eritrea,USA,United States of America,233.0,246.0,9.0,488.0,256.0,240.0,15.0,511.0,999.0
11,2017,SDN,Sudan,FRA,France,82.0,74.0,7.0,163.0,86.0,73.0,3.0,162.0,325.0
12,2017,All others,All others,NLD,Netherlands,11.0,14.0,0.0,25.0,16.0,16.0,0.0,32.0,57.0
13,2017,SOM,Somalia,NLD,Netherlands,3.0,2.0,0.0,5.0,2.0,0.0,0.0,2.0,7.0
14,2017,SYR,Syrian Arab Rep.,ISL,Iceland,4.0,4.0,0.0,8.0,8.0,5.0,0.0,13.0,21.0
15,2017,SOM,Somalia,DEU,Germany,1.0,3.0,0.0,4.0,0.0,4.0,0.0,4.0,8.0
16,2017,IRQ,Iraq,USA,United States of America,362.0,391.0,42.0,795.0,439.0,437.0,27.0,903.0,1698.0
17,2017,IRQ,Iraq,ISL,Iceland,13.0,7.0,1.0,21.0,7.0,7.0,1.0,15.0,36.0
18,2017,IRN,Iran (Islamic Rep. of),AUS,Australia,2.0,14.0,0.0,16.0,3.0,9.0,0.0,12.0,28.0
19,2017,SDN,Sudan,GBR,United Kingdom of Great Britain and Northern Ireland,118.0,118.0,0.0,236.0,143.0,80.0,1.0,224.0,460.0
20,2017,All others,All others,URY,Uruguay,2.0,6.0,0.0,8.0,3.0,4.0,1.0,8.0,16.0
21,2017,COD,Dem. Rep. of the Congo,CAN,Canada,28.0,38.0,4.0,70.0,36.0,20.0,2.0,58.0,128.0
22,2017,All others,All others,BEL,Belgium,5.0,3.0,0.0,8.0,3.0,1.0,0.0,4.0,12.0
23,2017,SOM,Somalia,NOR,Norway,2.0,2.0,0.0,4.0,4.0,1.0,0.0,5.0,9.0
24,2017,MMR,Myanmar,AUS,Australia,64.0,77.0,3.0,144.0,70.0,99.0,2.0,171.0,315.0
25,2017,IRQ,Iraq,NLD,Netherlands,1.0,1.0,0.0,2.0,1.0,6.0,0.0,7.0,9.0
26,2017,IRQ,Iraq,DEU,Germany,2.0,3.0,0.0,5.0,3.0,2.0,0.0,5.0,10.0
27,2017,IRN,Iran (Islamic Rep. of),CAN,Canada,12.0,26.0,0.0,38.0,7.0,18.0,1.0,26.0,64.0
28,2017,SYR,Syrian Arab Rep.,DEU,Germany,869.0,924.0,97.0,1890.0,902.0,761.0,99.0,1762.0,3652.0
29,2017,All others,All others,DEU,Germany,9.0,21.0,1.0,31.0,11.0,11.0,1.0,23.0,54.0
30,2017,SOM,Somalia,NZL,New Zealand,6.0,7.0,1.0,14.0,2.0,4.0,0.0,6.0,20.0
31,2017,IRQ,Iraq,NOR,Norway,0.0,3.0,0.0,3.0,2.0,3.0,0.0,5.0,8.0
32,2017,IRQ,Iraq,FIN,Finland,1.0,2.0,0.0,3.0,1.0,1.0,0.0,2.0,5.0
33,2017,IRN,Iran (Islamic Rep. of),FRA,France,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
34,2017,IRQ,Iraq,NZL,New Zealand,4.0,14.0,1.0,19.0,9.0,22.0,3.0,34.0,53.0
35,2017,IRN,Iran (Islamic Rep. of),FIN,Finland,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
36,2017,IRN,Iran (Islamic Rep. of),GBR,United Kingdom of Great Britain and Northern Ireland,5.0,12.0,0.0,17.0,13.0,10.0,0.0,23.0,40.0
37,2017,ERI,Eritrea,ITA,Italy,55.0,71.0,3.0,129.0,68.0,64.0,9.0,141.0,270.0
38,2017,All others,All others,GBR,United Kingdom of Great Britain and Northern Ireland,65.0,100.0,4.0,169.0,89.0,64.0,6.0,159.0,328.0
39,2017,SOM,Somalia,SWE,Sweden,90.0,100.0,4.0,194.0,92.0,79.0,4.0,175.0,369.0
40,2017,SDN,Sudan,PRT,Portugal,0.0,2.0,0.0,2.0,1.0,3.0,0.0,4.0,6.0
41,2017,MMR,Myanmar,JPN,Japan,7.0,11.0,0.0,18.0,11.0,10.0,0.0,21.0,39.0
42,2017,All others,All others,LTU,Lithuania,1.0,4.0,1.0,6.0,0.0,2.0,1.0,3.0,9.0
43,2017,COD,Dem. Rep. of the Congo,AUS,Australia,354.0,291.0,14.0,659.0,360.0,275.0,12.0,647.0,1306.0
44,2017,SOM,Somalia,USA,United States of America,326.0,286.0,9.0,621.0,325.0,262.0,15.0,602.0,1237.0
45,2017,ERI,Eritrea,FIN,Finland,2.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,4.0
46,2017,SDN,Sudan,CAN,Canada,54.0,50.0,5.0,109.0,68.0,67.0,1.0,136.0,245.0
47,2017,All others,All others,SWE,Sweden,157.0,158.0,8.0,323.0,153.0,131.0,10.0,294.0,617.0
48,2017,COD,Dem. Rep. of the Congo,NLD,Netherlands,51.0,46.0,2.0,99.0,47.0,35.0,1.0,83.0,182.0
49,2017,COD,Dem. Rep. of the Congo,BEL,Belgium,39.0,48.0,3.0,90.0,30.0,48.0,1.0,79.0,169.0
50,2017,All others,All others,AUT,Austria,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
51,2017,SYR,Syrian Arab Rep.,ARG,Argentina,13.0,30.0,0.0,43.0,29.0,32.0,1.0,62.0,105.0
52,2017,SYR,Syrian Arab Rep.,ITA,Italy,249.0,222.0,5.0,476.0,343.0,242.0,1.0,586.0,1062.0
53,2017,IRQ,Iraq,MCO,Monaco,3.0,7.0,1.0,11.0,9.0,7.0,3.0,19.0,30.0
54,2017,IRN,Iran (Islamic Rep. of),NZL,New Zealand,1.0,3.0,0.0,4.0,2.0,4.0,0.0,6.0,10.0
55,2017,ERI,Eritrea,FRA,France,4.0,16.0,0.0,20.0,7.0,6.0,2.0,15.0,35.0
56,2017,SDN,Sudan,CHE,Switzerland,2.0,4.0,0.0,6.0,3.0,0.0,0.0,3.0,9.0
57,2017,MMR,Myanmar,NZL,New Zealand,31.0,31.0,4.0,66.0,43.0,65.0,3.0,111.0,177.0
58,2017,SYR,Syrian Arab Rep.,CYP,Cyprus,1.0,2.0,0.0,3.0,1.0,1.0,1.0,3.0,6.0
59,2017,All others,All others,CHE,Switzerland,3.0,5.0,0.0,8.0,5.0,1.0,1.0,7.0,15.0
60,2017,SYR,Syrian Arab Rep.,AUS,Australia,20.0,21.0,1.0,42.0,19.0,20.0,0.0,39.0,81.0
61,2017,SYR,Syrian Arab Rep.,LTU,Lithuania,44.0,42.0,2.0,88.0,58.0,43.0,2.0,103.0,191.0
62,2017,ERI,Eritrea,GBR,United Kingdom of Great Britain and Northern Ireland,15.0,9.0,0.0,24.0,14.0,4.0,0.0,18.0,42.0
63,2017,ERI,Eritrea,CAN,Canada,129.0,143.0,7.0,279.0,124.0,115.0,11.0,250.0,529.0
64,2017,SDN,Sudan,NLD,Netherlands,1.0,2.0,0.0,3.0,4.0,0.0,0.0,4.0,7.0
65,2017,SDN,Sudan,DEU,Germany,36.0,29.0,0.0,65.0,33.0,27.0,0.0,60.0,125.0
66,2017,MMR,Myanmar,SWE,Sweden,1.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,5.0
67,2017,All others,All others,FIN,Finland,7.0,15.0,0.0,22.0,10.0,14.0,0.0,24.0,46.0
68,2017,SYR,Syrian Arab Rep.,AUT,Austria,63.0,63.0,1.0,127.0,67.0,57.0,2.0,126.0,253.0
69,2017,SDN,Sudan,NOR,Norway,6.0,4.0,0.0,10.0,6.0,3.0,0.0,9.0,19.0
70,2017,MMR,Myanmar,USA,United States of America,1042.0,1161.0,38.0,2241.0,1025.0,1367.0,28.0,2420.0,4661.0
71,2017,All others,All others,FRA,France,124.0,107.0,3.0,234.0,112.0,112.0,1.0,226.0,460.0
