,Year,Country of Origin (ISO),Country of Origin,Total departures (persons)
0,2016,SYR,Syrian Arab Rep.,47930.0
1,2016,SDN,Sudan,1718.0
2,2016,IRQ,Iraq,7387.0
3,2016,ERI,Eritrea,2808.0
4,2016,BTN,Bhutan,6297.0
5,2016,All others,All others,7449.0
6,2016,SOM,Somalia,10757.0
7,2016,MMR,Myanmar,13234.0
8,2016,IRN,Iran (Islamic Rep. of),2256.0
9,2016,COD,Dem. Rep. of the Congo,21911.0
10,2016,AFG,Afghanistan,4544.0
11,2017,SYR,Syrian Arab Rep.,29788.0
12,2017,SDN,Sudan,1228.0
13,2017,IRQ,Iraq,3414.0
14,2017,ERI,Eritrea,3195.0
15,2017,BTN,Bhutan,3959.0
16,2017,SOM,Somalia,3119.0
17,2017,MMR,Myanmar,4791.0
18,2017,IRN,Iran (Islamic Rep. of),896.0
19,2017,COD,Dem. Rep. of the Congo,7733.0
20,2017,AFG,Afghanistan,2053.0
21,2018,AFG,Afghanistan,1425.0
22,2018,SYR,Syrian Arab Rep.,23413.0
23,2018,SDN,Sudan,1193.0
24,2018,IRQ,Iraq,1238.0
25,2018,ERI,Eritrea,3527.0
26,2018,BTN,Bhutan,919.0
27,2018,SOM,Somalia,896.0
28,2018,MMR,Myanmar,4750.0
29,2018,IRN,Iran (Islamic Rep. of),358.0
30,2018,COD,Dem. Rep. of the Congo,12742.0
31,2019,COD,Dem. Rep. of the Congo,14673.0
32,2019,AFG,Afghanistan,2476.0
33,2019,SYR,Syrian Arab Rep.,23625.0
34,2019,SDN,Sudan,2861.0
35,2019,IRQ,Iraq,2128.0
36,2019,ERI,Eritrea,3379.0
37,2019,BTN,Bhutan,32.0
38,2019,SOM,Somalia,2360.0
39,2019,MMR,Myanmar,5224.0
40,2019,IRN,Iran (Islamic Rep. of),467.0
41,2020,IRN,Iran (Islamic Rep. of),60.0
42,2020,COD,Dem. Rep. of the Congo,1697.0
43,2020,AFG,Afghanistan,495.0
44,2020,SYR,Syrian Arab Rep.,4209.0
45,2020,SDN,Sudan,425.0
46,2020,IRQ,Iraq,592.0
47,2020,ERI,Eritrea,450.0
48,2020,SOM,Somalia,232.0
49,2020,MMR,Myanmar,541.0
50,,,,
51,"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data. In addition, resettlement departure figures reported by UNHCR may not match resettlement statistics published by States as Government figures may include individuals who were resettled outside of UNHCR processes. More information about UNHCR's resettlement programe can be found at http://www.unhcr.org/resettlement.html.",,,
