,Origin,Female 0-17,Female 18-59,Female 60+,Female (unknown age),Female Total,Male 0-17,Male 18-59,Male 60+,Male (unknown age),Male Total,Other/Unknown,Total
10,Syria,6409,5626.25,289.75,0,12325,7560.75,5583.75,246,0,13390.5,0.25,25715.75
3,Congo,3743.75,3181.5,200.75,1.5,7127.5,3783.25,2917.5,161,0,6861.75,1,13990.25
1,All others,1837.75,2006.75,69,0,3913.5,1871.25,1771,50.5,1,3693.75,78.25,7685.5
0,Afghanistan,731,887,41,0,1659,805.25,690.25,36.25,0,1531.75,0.25,3191
4,Eritrea,531.5,707.5,17,0,1256,668.25,855,26,0,1549.25,19.75,2825
7,Myanmar,661.5,623,24.25,0,1308.75,720,688.75,17.5,0,1426.25,0,2735
8,Somalia,699,740.75,25,0,1464.75,715,516.5,21.5,0,1253,9,2726.75
6,Iraq,437.5,612.75,68,0,1118.25,501.25,588,52.5,0,1141.75,0,2260
9,Sudan,549.5,498,15.25,0,1062.75,606,504,13.25,0,1123.25,7.25,2193.25
5,Iran ,38.75,144.25,5.25,0,188.25,44.25,185.75,6,0,236,0.25,424.5
